,Date,SPY
244,2019-09-09,298.15
245,2019-09-10,298.2
246,2019-09-11,300.29
247,2019-09-12,301.27
248,2019-09-13,301.05
249,2019-09-16,300.16
250,2019-09-17,300.94
251,2019-09-18,301.1
252,2019-09-19,301.06
253,2019-09-20,298.13
254,2019-09-23,298.25
255,2019-09-24,295.81
256,2019-09-25,297.6
257,2019-09-26,296.97
258,2019-09-27,295.36
259,2019-09-30,296.7905
260,2019-10-01,293.22
261,2019-10-02,288.04
262,2019-10-03,290.37
263,2019-10-04,294.37
264,2019-10-07,293.11
265,2019-10-08,288.55
266,2019-10-09,291.23
267,2019-10-10,293.24
268,2019-10-11,296.26
269,2019-10-14,296.01
270,2019-10-15,298.9
271,2019-10-16,298.41
272,2019-10-17,299.24
273,2019-10-18,297.98
274,2019-10-21,300.05
275,2019-10-22,299.03
276,2019-10-23,299.86
277,2019-10-24,300.42
278,2019-10-25,301.565
279,2019-10-28,303.36
280,2019-10-29,303.2
281,2019-10-30,304.14
282,2019-10-31,303.26
283,2019-11-01,306.18
284,2019-11-04,307.34
285,2019-11-05,307.0
286,2019-11-06,307.1699
287,2019-11-07,308.22
288,2019-11-08,308.96
289,2019-11-11,308.39
290,2019-11-12,308.94
291,2019-11-13,309.07
292,2019-11-14,309.53
293,2019-11-15,311.82
294,2019-11-18,312.0
295,2019-11-19,311.91
296,2019-11-20,310.79
297,2019-11-21,310.29
298,2019-11-22,311.0
299,2019-11-25,313.35
300,2019-11-26,314.02
301,2019-11-27,315.46
302,2019-11-29,314.27
303,2019-12-02,311.6
304,2019-12-03,309.47
305,2019-12-04,311.47
306,2019-12-05,312.05
307,2019-12-06,314.84
308,2019-12-09,313.87
309,2019-12-10,313.55
310,2019-12-11,314.41
311,2019-12-12,317.14
312,2019-12-13,317.28
313,2019-12-16,319.51
314,2019-12-17,319.5495
315,2019-12-18,319.58
316,2019-12-19,320.91
317,2019-12-20,320.95
318,2019-12-23,321.22
319,2019-12-24,321.26
320,2019-12-26,322.91
321,2019-12-27,322.86
322,2019-12-30,321.1
323,2019-12-31,321.92
324,2020-01-02,324.85
325,2020-01-03,322.44
326,2020-01-06,323.67
327,2020-01-07,322.73
328,2020-01-08,324.42
329,2020-01-09,326.62
330,2020-01-10,325.7
331,2020-01-13,327.94
332,2020-01-14,327.43
333,2020-01-15,328.17
334,2020-01-16,330.91
335,2020-01-17,332.01
336,2020-01-21,331.31
337,2020-01-22,331.39
338,2020-01-23,331.74
339,2020-01-24,328.75
340,2020-01-27,323.52
341,2020-01-28,326.89
342,2020-01-29,326.62
343,2020-01-30,327.66
344,2020-01-31,321.74
345,2020-02-03,324.14
346,2020-02-04,329.08
347,2020-02-05,332.84
348,2020-02-06,333.96
349,2020-02-07,332.2
350,2020-02-10,334.69
351,2020-02-11,335.29
352,2020-02-12,337.42
353,2020-02-13,337.08
354,2020-02-14,337.6
355,2020-02-18,336.7
356,2020-02-19,338.31
357,2020-02-20,338.3379
358,2020-02-21,333.49
359,2020-02-24,322.41
360,2020-02-25,312.7
361,2020-02-26,311.55
362,2020-02-27,297.55
363,2020-02-28,296.16
364,2020-03-02,309.08
365,2020-03-03,300.34
366,2020-03-04,312.91
367,2020-03-05,302.51
368,2020-03-06,297.42
369,2020-03-09,274.4
370,2020-03-10,288.44
371,2020-03-11,274.36
372,2020-03-12,248.1
373,2020-03-13,270.8
374,2020-03-16,239.41
375,2020-03-17,254.19
376,2020-03-18,241.01
377,2020-03-19,241.18
378,2020-03-20,228.94
379,2020-03-23,222.51
380,2020-03-24,243.59
381,2020-03-25,246.77
382,2020-03-26,261.39
383,2020-03-27,253.39
384,2020-03-30,261.68
385,2020-03-31,257.7
386,2020-04-01,246.12
387,2020-04-02,251.87
388,2020-04-03,248.21
389,2020-04-06,264.97
390,2020-04-07,265.1
391,2020-04-08,274.07
392,2020-04-09,278.24
393,2020-04-13,275.57
394,2020-04-14,283.87
395,2020-04-15,277.75
396,2020-04-16,279.21
397,2020-04-17,286.73
398,2020-04-20,281.61
399,2020-04-21,273.02
400,2020-04-22,279.91
401,2020-04-23,279.06
402,2020-04-24,283.04
403,2020-04-27,287.11
404,2020-04-28,285.77
405,2020-04-29,293.19
406,2020-04-30,290.39
407,2020-05-01,282.73
408,2020-05-04,283.66
409,2020-05-05,286.22
410,2020-05-06,284.29
411,2020-05-07,287.7
412,2020-05-08,292.47
413,2020-05-11,292.56
414,2020-05-12,286.62
415,2020-05-13,281.67
416,2020-05-14,285.05
417,2020-05-15,286.26
418,2020-05-18,294.995
419,2020-05-19,292.02
420,2020-05-20,296.96
421,2020-05-21,294.79
422,2020-05-22,295.42
423,2020-05-26,299.15
424,2020-05-27,303.48
425,2020-05-28,302.96
426,2020-05-29,304.16
427,2020-06-01,305.58
428,2020-06-02,308.13
429,2020-06-03,312.2117
430,2020-06-04,311.31
431,2020-06-05,319.27
432,2020-06-08,323.25
433,2020-06-09,320.81
434,2020-06-10,319.01
435,2020-06-11,300.62
436,2020-06-12,304.28
437,2020-06-15,307.03
438,2020-06-16,312.93
439,2020-06-17,311.56
440,2020-06-18,311.74
441,2020-06-19,308.56
442,2020-06-22,310.68
443,2020-06-23,312.03
444,2020-06-24,304.12
445,2020-06-25,307.31
446,2020-06-26,300.01
447,2020-06-29,304.43
448,2020-06-30,308.57
449,2020-07-01,310.57
450,2020-07-02,312.18
451,2020-07-06,316.99
452,2020-07-07,313.72
453,2020-07-08,316.12
454,2020-07-09,314.42
455,2020-07-10,317.61
456,2020-07-13,314.81
457,2020-07-14,318.89
458,2020-07-15,321.865
459,2020-07-16,320.81
460,2020-07-17,321.67
461,2020-07-20,324.36
462,2020-07-21,324.96
463,2020-07-22,326.82
464,2020-07-23,322.935
465,2020-07-24,320.86
466,2020-07-27,323.18
467,2020-07-28,321.2
468,2020-07-29,325.09
469,2020-07-30,323.98
470,2020-07-31,326.55
471,2020-08-03,328.76
472,2020-08-04,330.03
473,2020-08-05,332.06
474,2020-08-06,334.31
475,2020-08-07,334.55
476,2020-08-10,335.55
477,2020-08-11,332.82
478,2020-08-12,337.42
479,2020-08-13,336.86
480,2020-08-14,336.86
481,2020-08-17,337.88
482,2020-08-18,338.62
483,2020-08-19,337.22
484,2020-08-20,338.25
485,2020-08-21,339.44
486,2020-08-24,342.94
487,2020-08-25,344.0999
488,2020-08-26,347.56
489,2020-08-27,348.29
490,2020-08-28,350.54
491,2020-08-31,349.34
492,2020-09-01,352.56
493,2020-09-02,357.68
494,2020-09-03,345.41
495,2020-09-04,342.6
496,2020-09-08,333.26
497,2020-09-09,339.76
498,2020-09-10,333.92
499,2020-09-11,334.08
500,2020-09-14,338.42
501,2020-09-15,340.15
502,2020-09-16,338.81
503,2020-09-17,335.86
504,2020-09-18,330.69
505,2020-09-21,327.0
506,2020-09-22,330.33
507,2020-09-23,322.66
508,2020-09-24,323.52
509,2020-09-25,328.69
510,2020-09-28,334.2
511,2020-09-29,332.39
512,2020-09-30,334.89
513,2020-10-01,337.03
514,2020-10-02,333.87
515,2020-10-05,339.73
516,2020-10-06,334.94
517,2020-10-07,340.73
518,2020-10-08,343.73
519,2020-10-09,346.84
520,2020-10-12,352.43
521,2020-10-13,350.15
522,2020-10-14,347.97
523,2020-10-15,347.51
524,2020-10-16,347.25
525,2020-10-19,342.02
526,2020-10-20,343.34
527,2020-10-21,342.69
528,2020-10-22,344.63
529,2020-10-23,345.76
530,2020-10-26,339.415
531,2020-10-27,338.25
532,2020-10-28,326.67
533,2020-10-29,329.99
534,2020-10-30,326.53
535,2020-11-02,330.21
536,2020-11-03,335.97
537,2020-11-04,343.495
538,2020-11-05,350.21
539,2020-11-06,350.19
540,2020-11-09,354.54
541,2020-11-10,354.07
