,4b. close (USD)
2020-01-25,0.00225100
2020-01-24,0.00226980
2020-01-23,0.00225140
2020-01-22,0.00234340
2020-01-21,0.00236730
2020-01-20,0.00237600
2020-01-19,0.00239820
2020-01-18,0.00251150
2020-01-17,0.00248680
2020-01-16,0.00232760
2020-01-15,0.00236690
2020-01-14,0.00235810
2020-01-13,0.00217040
2020-01-12,0.00219630
2020-01-11,0.00217540
2020-01-10,0.00219730
2020-01-09,0.00212820
2020-01-08,0.00208860
2020-01-07,0.00217500
2020-01-06,0.00213440
2020-01-05,0.00206960
2020-01-04,0.00205790
2020-01-03,0.00202360
2020-01-02,0.00199510
2020-01-01,0.00202450
2019-12-31,0.00201350
2019-12-30,0.00202640
2019-12-29,0.00203290
2019-12-28,0.00204580
2019-12-27,0.00202770
2019-12-26,0.00202450
2019-12-25,0.00204000
2019-12-24,0.00201840
2019-12-23,0.00205100
2019-12-22,0.00208080
2019-12-21,0.00204000
2019-12-20,0.00202730
2019-12-19,0.00202050
2019-12-18,0.00204830
2019-12-17,0.00197720
2019-12-16,0.00208700
2019-12-15,0.00213630
2019-12-14,0.00211270
2019-12-13,0.00213210
2019-12-12,0.00213440
2019-12-11,0.00213790
2019-12-10,0.00213680
2019-12-09,0.00216990
2019-12-08,0.00219710
2019-12-07,0.00218400
2019-12-06,0.00219440
2019-12-05,0.00217550
2019-12-04,0.00216820
2019-12-03,0.00217820
2019-12-02,0.00221940
2019-12-01,0.00226480
2019-11-30,0.00229180
2019-11-29,0.00235930
2019-11-28,0.00227200
2019-11-27,0.00232080
2019-11-26,0.00226630
2019-11-25,0.00225390
2019-11-24,0.00223300
2019-11-23,0.00239940
2019-11-22,0.00235240
2019-11-21,0.00240630
2019-11-20,0.00252250
2019-11-19,0.00251650
2019-11-18,0.00253950
2019-11-17,0.00262580
2019-11-16,0.00266060
2019-11-15,0.00265800
2019-11-14,0.00266200
2019-11-13,0.00268210
2019-11-12,0.00270780
2019-11-11,0.00270500
2019-11-10,0.00275650
2019-11-09,0.00271260
2019-11-08,0.00263810
2019-11-07,0.00269820
2019-11-06,0.00259520
2019-11-05,0.00259270
2019-11-04,0.00257510
2019-11-03,0.00258610
2019-11-02,0.00257730
2019-11-01,0.00259320
2019-10-31,0.00258440
2019-10-30,0.00259360
2019-10-29,0.00262500
2019-10-28,0.00262650
2019-10-27,0.00264000
2019-10-26,0.00259250
2019-10-25,0.00266940
2019-10-24,0.00251830
2019-10-23,0.00247460
2019-10-22,0.00253110
2019-10-21,0.00268790
2019-10-20,0.00271510
2019-10-19,0.00271760
2019-10-18,0.00269520
2019-10-17,0.00274050
2019-10-16,0.00261620
2019-10-15,0.00249640
2019-10-14,0.00254150
2019-10-13,0.00243170
2019-10-12,0.00231960
2019-10-11,0.00229090
2019-10-10,0.00230000
2019-10-09,0.00235220
2019-10-08,0.00230960
2019-10-07,0.00233100
2019-10-06,0.00226770
2019-10-05,0.00229220
2019-10-04,0.00228930
2019-10-03,0.00229770
2019-10-02,0.00232300
2019-10-01,0.00235030
2019-09-30,0.00237470
2019-09-29,0.00218540
2019-09-28,0.00219740
2019-09-27,0.00217230
2019-09-26,0.00213960
2019-09-25,0.00217570
2019-09-24,0.00219000
2019-09-23,0.00244740
2019-09-22,0.00256200
2019-09-21,0.00257720
2019-09-20,0.00264970
2019-09-19,0.00270830
2019-09-18,0.00270150
2019-09-17,0.00259400
2019-09-16,0.00243090
2019-09-15,0.00242600
2019-09-14,0.00241920
2019-09-13,0.00239900
2019-09-12,0.00239280
2019-09-11,0.00238920
2019-09-10,0.00241850
2019-09-09,0.00243510
2019-09-08,0.00245850
2019-09-07,0.00245420
2019-09-06,0.00247000
2019-09-05,0.00249090
2019-09-04,0.00250970
2019-09-03,0.00255930
2019-09-02,0.00258820
2019-09-01,0.00246030
2019-08-31,0.00245280
2019-08-30,0.00244490
2019-08-29,0.00242440
2019-08-28,0.00249650
2019-08-27,0.00259930
2019-08-26,0.00264090
2019-08-25,0.00262370
2019-08-24,0.00262220
2019-08-23,0.00266680
2019-08-22,0.00264580
2019-08-21,0.00263980
2019-08-20,0.00271200
2019-08-19,0.00278160
2019-08-18,0.00269500
2019-08-17,0.00262510
2019-08-16,0.00265100
2019-08-15,0.00259160
2019-08-14,0.00271610
2019-08-13,0.00283390
2019-08-12,0.00285160
2019-08-11,0.00288740
2019-08-10,0.00285000
2019-08-09,0.00291300
2019-08-08,0.00296350
2019-08-07,0.00298560
2019-08-06,0.00295570
2019-08-05,0.00304280
2019-08-04,0.00292220
2019-08-03,0.00289940
2019-08-02,0.00289960
2019-08-01,0.00290040
2019-07-31,0.00285830
2019-07-30,0.00278850
2019-07-29,0.00276630
2019-07-28,0.00279320
2019-07-27,0.00280470
2019-07-26,0.00287980
2019-07-25,0.00286560
2019-07-24,0.00287410
2019-07-23,0.00281920
2019-07-22,0.00295670
2019-07-21,0.00304680
2019-07-20,0.00307870
2019-07-19,0.00302320
2019-07-18,0.00309790
2019-07-17,0.00288220
2019-07-16,0.00279940
2019-07-15,0.00307120
2019-07-14,0.00291750
2019-07-13,0.00325320
2019-07-12,0.00326220
2019-07-11,0.00320900
2019-07-10,0.00334210
2019-07-09,0.00345450
2019-07-08,0.00345800
2019-07-07,0.00353770
2019-07-06,0.00350000
2019-07-05,0.00387010
