Date,BTC,XRP,ETH,LTC,DOGE,^GSPC
2016-06-15,694.468994140625,0.0068870000541210175,18.354299545288086,5.239779949188232,0.0003129999968223274,2071.5
2016-06-16,766.3079833984375,0.006676000077277422,20.588600158691406,5.660789966583252,0.0003349999897181988,2077.989990234375
2016-06-17,748.9089965820312,0.006692999973893166,15.376799583435059,5.5932698249816895,0.0003209999995306134,2071.219970703125
2016-06-20,737.2260131835938,0.006626000162214041,11.839500427246094,5.294539928436279,0.0003229999856557697,2083.25
2016-06-21,666.6519775390625,0.006171999964863062,13.306699752807617,4.821750164031982,0.00030700000934302807,2088.89990234375
2016-06-22,596.1160278320312,0.00649499986320734,13.095100402832031,3.9107000827789307,0.00026599998818710446,2085.449951171875
2016-06-23,623.9769897460938,0.006380999926477671,13.676199913024902,3.8505098819732666,0.0002800000074785203,2113.320068359375
2016-06-24,665.2990112304688,0.006434000097215176,14.332099914550781,4.279099941253662,0.0002809999859891832,2037.4100341796875
2016-06-27,655.2750244140625,0.006397999823093414,13.883899688720703,4.119850158691406,0.0002880000101868063,2000.5400390625
2016-06-28,647.0009765625,0.006773000117391348,12.175600051879883,4.1006598472595215,0.0003009999927598983,2036.0899658203125
2016-06-29,639.8900146484375,0.006777000147849321,12.611200332641602,4.061880111694336,0.00029600001289509237,2070.77001953125
2016-06-30,673.3369750976562,0.006657000165432692,12.46150016784668,4.19350004196167,0.00030399998649954796,2098.860107421875
2016-07-01,676.2960205078125,0.006787000223994255,12.19950008392334,4.255970001220703,0.0003020000003743917,2102.949951171875
2016-07-05,670.6270141601562,0.006699000019580126,10.61139965057373,4.452280044555664,0.00028700000257231295,2088.550048828125
2016-07-06,677.3309936523438,0.006690999958664179,10.528900146484375,4.468220233917236,0.0002840000088326633,2099.72998046875
2016-07-07,640.56201171875,0.006597999949008226,10.109399795532227,4.111879825592041,0.0002749999985098839,2097.89990234375
2016-07-08,666.5230102539062,0.00671500014141202,11.394599914550781,4.219910144805908,0.0002770000137388706,2129.89990234375
2016-07-11,647.6589965820312,0.006533999927341938,10.458999633789062,4.085440158843994,0.00026699999580159783,2137.159912109375
2016-07-12,664.551025390625,0.00634999992325902,10.51609992980957,4.153279781341553,0.00026500000967644155,2152.139892578125
2016-07-13,654.468017578125,0.006411000154912472,10.500499725341797,4.1385498046875,0.0002629999944474548,2152.429931640625
2016-07-14,658.0780029296875,0.006384999956935644,11.513199806213379,4.1484599113464355,0.00026199998683296144,2163.75
2016-07-15,663.2550048828125,0.006442000158131123,11.951600074768066,4.1597700119018555,0.0002640000020619482,2161.739990234375
2016-07-18,673.1060180664062,0.00648199999704957,11.03439998626709,4.148220062255859,0.0002519999979995191,2166.889892578125
2016-07-19,672.864013671875,0.0064050001092255116,11.619099617004395,4.149159908294678,0.00024500000290572643,2163.780029296875
2016-07-20,665.6849975585938,0.006395000033080578,12.450599670410156,4.125060081481934,0.00024399999529123306,2173.02001953125
2016-07-21,665.0120239257812,0.006415999960154295,12.650699615478516,4.120230197906494,0.00023700000019744039,2165.169921875
2016-07-22,650.6190185546875,0.006302999798208475,14.66189956665039,4.038290023803711,0.00023700000019744039,2175.030029296875
2016-07-25,654.0969848632812,0.006246000062674284,13.836099624633789,4.032040119171143,0.00024500000290572643,2168.47998046875
2016-07-26,651.7839965820312,0.0059980000369250774,11.989500045776367,3.9702401161193848,0.00023999999393709004,2169.179931640625
2016-07-27,654.3519897460938,0.005969000048935413,12.972800254821777,3.955889940261841,0.00023700000019744039,2166.580078125
2016-07-28,655.0349731445312,0.0059739998541772366,12.843600273132324,3.967740058898926,0.00023799999326001853,2170.06005859375
2016-07-29,656.9920043945312,0.006111000198870897,12.794599533081055,4.077439785003662,0.00023799999326001853,2173.60009765625
2016-08-01,606.27197265625,0.005905999802052975,10.94159984588623,3.863420009613037,0.0002229999954579398,2170.840087890625
2016-08-02,547.4650268554688,0.005690000019967556,8.787280082702637,3.639580011367798,0.00020599999697878957,2157.030029296875
2016-08-03,566.35498046875,0.005646000150591135,10.293899536132812,3.7192299365997314,0.00021399999968707561,2163.7900390625
2016-08-04,578.2890014648438,0.005816000048071146,11.042799949645996,3.7484500408172607,0.00021499999274965376,2164.25
2016-08-05,575.0430297851562,0.006446999963372946,10.925399780273438,3.7290399074554443,0.00021800000104121864,2182.8701171875
2016-08-08,591.0540161132812,0.0060270000249147415,11.245400428771973,3.7855100631713867,0.00023700000019744039,2180.889892578125
2016-08-09,587.801025390625,0.006163000129163265,12.24429988861084,3.7597498893737793,0.00023700000019744039,2181.739990234375
2016-08-10,592.10302734375,0.006194000132381916,12.143199920654297,3.7224199771881104,0.0002390000008745119,2175.489990234375
2016-08-11,589.1199951171875,0.0061889998614788055,11.690899848937988,3.7421700954437256,0.00023499999952036887,2185.7900390625
2016-08-12,587.5590209960938,0.00612299982458353,11.778499603271484,3.709350109100342,0.0002390000008745119,2184.050048828125
2016-08-15,567.239990234375,0.006045000161975622,11.218400001525879,3.577080011367798,0.00023799999326001853,2190.14990234375
2016-08-16,577.4390258789062,0.006140000186860561,11.139699935913086,3.6377201080322266,0.0002579999854788184,2178.14990234375
2016-08-17,573.2160034179688,0.0061090001836419106,10.752799987792969,3.599440097808838,0.0002469999890308827,2182.219970703125
2016-08-18,574.3179931640625,0.006122000049799681,10.756099700927734,3.6071200370788574,0.0002469999890308827,2187.02001953125
2016-08-19,575.6300048828125,0.006118999794125557,10.748700141906738,3.6040899753570557,0.00023299999884329736,2183.8701171875
