Date,BTC RC
<<<<<<< HEAD
2016-06-17,0.6603622343895376
2016-06-20,-0.33184857019419883
2016-06-21,-0.8268184227857923
2016-06-22,-0.3863841267914041
2016-06-23,-0.006884721966682544
2016-06-24,-0.7087219730583851
2016-06-27,-0.8467143725170778
2016-06-28,0.0866117227235478
2016-06-29,-0.9993351074552519
2016-06-30,0.7057490286628677
2016-07-01,0.999042787604549
2016-07-05,0.9638322336623941
2016-07-06,0.9364063251300224
2016-07-07,-0.19708882146888723
2016-07-08,0.28070880084299227
2016-07-11,0.5782518126176764
2016-07-12,0.10237502211597399
2016-07-13,0.7950891239566631
2016-07-14,-0.1833529970010163
2016-07-15,0.7014415413162802
2016-07-18,0.7360873139279234
2016-07-19,0.8130472811667431
2016-07-20,-0.9338462703456921
2016-07-21,-0.5531562150826538
2016-07-22,-0.6273572115047364
2016-07-25,-0.888189646624229
2016-07-26,-0.8170885297881955
2016-07-27,-0.7688367408443739
2016-07-28,-0.0772908001205843
2016-07-29,0.9646213329666353
2016-08-01,0.33952078840720656
2016-08-02,0.9476761572590534
2016-08-03,0.9817288001641797
2016-08-04,0.9437129361331981
2016-08-05,0.2749775170953774
2016-08-08,0.2315626519782488
2016-08-09,-0.9692246892962648
2016-08-10,-0.7741263851456797
2016-08-11,-0.7617523834240811
2016-08-12,-0.8759958954284258
2016-08-15,-0.9412398918988746
2016-08-16,-0.5102304853436858
2016-08-17,-0.9964145932989636
2016-08-18,-0.6783004489780398
2016-08-19,0.2906816342554669
2016-08-22,-0.7805402365953885
2016-08-23,-0.05749553528962055
2016-08-24,0.6142334875351952
2016-08-25,0.9702008045755607
2016-08-26,0.16792209400222396
2016-08-29,-0.9990935908098745
2016-08-30,-0.9632738683616865
2016-08-31,-0.3477482127222397
2016-09-01,0.8054482432300482
2016-09-02,0.5224775675127267
2016-09-06,0.855859483676207
2016-09-07,0.9902616761947867
2016-09-08,-0.9807185135408054
2016-09-09,-0.3043045134283994
2016-09-12,0.08442935524004036
2016-09-13,-0.5338177139201242
2016-09-14,-0.827979102850633
2016-09-15,-0.9334255522032429
2016-09-16,-0.9106494499943104
2016-09-19,-0.4395505200065046
2016-09-20,0.052631994398116895
2016-09-21,-0.9990017457772675
2016-09-22,-0.9499982246546063
2016-09-23,-0.5153528732120849
2016-09-26,-0.9840664056773132
2016-09-27,-0.9073590810655638
2016-09-28,-0.9997630258891895
2016-09-29,-0.7130024512559834
2016-09-30,0.19698758677860614
2016-10-03,0.6965944031966453
2016-10-04,-0.06787173090402888
2016-10-05,0.9609785119331973
2016-10-06,0.996905214406173
2016-10-07,-0.9716798223713551
2016-10-10,0.0750561110529511
2016-10-11,-0.9034205888443669
2016-10-12,-0.9916113281179821
2016-10-13,0.037742596645245215
2016-10-14,-0.5622745026489461
2016-10-17,-0.13417821705924735
2016-10-18,-0.5151899250290579
2016-10-19,-0.7910461078438437
2016-10-20,-0.8072308610561113
2016-10-21,-0.6521713527844876
2016-10-24,0.9956601631886065
2016-10-25,0.5364417274421127
2016-10-26,-0.830744764849267
2016-10-27,-0.9396651390059424
2016-10-28,-0.910561427441565
2016-10-31,-0.6077624513384212
2016-11-01,-0.9659881291816155
2016-11-02,-0.9716122049806314
2016-11-03,0.6689252372616528
2016-11-04,0.8574476933714453
2016-11-07,0.4348841656764806
2016-11-08,0.6031755835289271
2016-11-09,0.9961703093244763
2016-11-10,0.7301025547576206
2016-11-11,-0.78595317173293
2016-11-14,0.4993705942275803
2016-11-15,0.10457626970335322
2016-11-16,0.4598708799683022
2016-11-17,0.09396106764527878
2016-11-18,-0.3101862090238424
2016-11-21,-0.8264505540231863
2016-11-22,-0.31745664270888063
2016-11-23,0.6547123114474055
2016-11-25,-0.8331598591141742
2016-11-28,0.4249443807814126
2016-11-29,0.9621548747398436
2016-11-30,-0.8735078485298904
2016-12-01,-0.9986165571582996
2016-12-02,-0.6930109077893704
2016-12-05,-0.3748266635135705
2016-12-06,-0.7912148628668457
2016-12-07,0.9103545411271436
2016-12-08,0.9599237883084732
2016-12-09,0.9395801827218312
2016-12-12,0.5188559912584501
2016-12-13,0.40210283632445565
2016-12-14,-0.36748625594396295
2016-12-15,-0.23518911475195484
2016-12-16,-0.4493985166532132
2016-12-19,0.14100475284576028
2016-12-20,0.987695014337994
2016-12-21,-0.016358296285484384
2016-12-22,-0.9986775510164104
2016-12-23,-0.15138426721299444
2016-12-27,0.8607580211825928
2016-12-28,-0.8957664294905364
2016-12-29,-0.9967900086990926
2016-12-30,0.9948505415198757
2017-01-03,0.9038524689724392
2017-01-04,0.9812909389741756
2017-01-05,0.42827141732573487
2017-01-06,-0.6948202007040895
2017-01-09,-0.4948843245041302
2017-01-10,-0.5878158113489726
2017-01-11,-0.9994575667945361
2017-01-12,-0.8158666034132184
2017-01-13,-0.22574368067537742
2017-01-17,-0.667992137903939
2017-01-18,-0.9274231917142585
2017-01-19,-0.5699421625183203
2017-01-20,-0.7901961074115785
2017-01-23,-0.4623112623492336
2017-01-24,-0.8516514308680293
2017-01-25,-0.6264977877781851
2017-01-26,0.716210281339423
2017-01-27,-0.8953398661045522
2017-01-30,-0.7557888549181639
2017-01-31,-0.6072958420677467
2017-02-01,-0.8249510492140952
2017-02-02,0.9926910645349408
2017-02-03,0.865767618415712
2017-02-06,0.8253813596992415
2017-02-07,-0.6299576405883351
2017-02-08,0.7340288416006135
2017-02-09,-0.9928059840051895
2017-02-10,-0.9487659195230623
2017-02-13,-0.5567068361752515
2017-02-14,0.8845374489672275
2017-02-15,0.911345656707547
