,ETH
2020-11-22,560.03000000
2020-11-21,552.35000000
2020-11-20,510.12000000
2020-11-19,471.25000000
2020-11-18,478.41000000
2020-11-17,482.15000000
2020-11-16,460.55000000
2020-11-15,448.08000000
2020-11-14,460.89000000
2020-11-13,476.43000000
2020-11-12,462.39000000
2020-11-11,463.09000000
2020-11-10,450.34000000
2020-11-09,444.32000000
2020-11-08,454.30000000
2020-11-07,435.21000000
2020-11-06,455.91000000
2020-11-05,416.69000000
2020-11-04,402.49000000
2020-11-03,387.88000000
2020-11-02,383.02000000
2020-11-01,396.67000000
2020-10-31,386.46000000
2020-10-30,382.49000000
2020-10-29,387.13000000
2020-10-28,388.23000000
2020-10-27,403.45000000
2020-10-26,392.52000000
2020-10-25,405.86000000
2020-10-24,412.14000000
2020-10-23,409.11000000
2020-10-22,413.98000000
2020-10-21,390.38000000
2020-10-20,368.52000000
2020-10-19,379.30000000
2020-10-18,378.11000000
2020-10-17,368.32000000
2020-10-16,365.50000000
2020-10-15,377.64000000
2020-10-14,378.69000000
2020-10-13,381.04000000
2020-10-12,386.51000000
2020-10-11,374.16000000
2020-10-10,370.52000000
2020-10-09,365.02000000
2020-10-08,350.95000000
2020-10-07,341.58000000
2020-10-06,340.75000000
2020-10-05,353.62000000
2020-10-04,352.37000000
2020-10-03,345.95000000
2020-10-02,345.60000000
2020-10-01,352.85000000
2020-09-30,359.83000000
2020-09-29,359.79000000
2020-09-28,353.96000000
2020-09-27,357.49000000
2020-09-26,353.92000000
2020-09-25,351.92000000
2020-09-24,348.97000000
2020-09-23,320.72000000
2020-09-22,344.21000000
2020-09-21,340.36000000
2020-09-20,371.04000000
2020-09-19,385.25000000
2020-09-18,384.39000000
2020-09-17,389.36000000
2020-09-16,365.11000000
2020-09-15,364.06000000
2020-09-14,377.12000000
2020-09-13,366.42000000
2020-09-12,387.78000000
2020-09-11,373.63000000
2020-09-10,367.93000000
2020-09-09,350.85000000
2020-09-08,337.39000000
2020-09-07,353.59000000
2020-09-06,352.80000000
2020-09-05,335.01000000
2020-09-04,385.26000000
2020-09-03,381.40000000
2020-09-02,439.50000000
2020-09-01,475.40000000
2020-08-31,433.79000000
2020-08-30,428.94000000
2020-08-29,398.65000000
2020-08-28,395.11000000
2020-08-27,383.27000000
2020-08-26,385.81000000
2020-08-25,382.93000000
2020-08-24,407.68000000
2020-08-23,390.71000000
2020-08-22,395.24000000
2020-08-21,387.97000000
2020-08-20,415.94000000
2020-08-19,407.46000000
2020-08-18,421.95000000
2020-08-17,430.89000000
2020-08-16,433.62000000
2020-08-15,432.32000000
2020-08-14,438.11000000
2020-08-13,424.54000000
2020-08-12,387.18000000
2020-08-11,379.00000000
2020-08-10,395.44000000
2020-08-09,390.14000000
2020-08-08,397.03000000
2020-08-07,379.34000000
2020-08-06,394.77000000
2020-08-05,400.72000000
2020-08-04,389.61000000
2020-08-03,385.94000000
2020-08-02,372.42000000
2020-08-01,387.00000000
2020-07-31,346.33000000
2020-07-30,334.87000000
2020-07-29,317.71000000
2020-07-28,316.77000000
2020-07-27,321.93000000
2020-07-26,311.00000000
2020-07-25,305.26000000
2020-07-24,279.15000000
2020-07-23,275.30000000
2020-07-22,263.74000000
2020-07-21,245.59000000
2020-07-20,236.01000000
2020-07-19,239.11000000
2020-07-18,235.67000000
2020-07-17,232.67000000
2020-07-16,233.57000000
2020-07-15,238.61000000
2020-07-14,240.44000000
2020-07-13,239.50000000
2020-07-12,242.79000000
2020-07-11,239.19000000
2020-07-10,241.26000000
2020-07-09,241.98000000
2020-07-08,246.95000000
2020-07-07,239.39000000
2020-07-06,241.60000000
2020-07-05,227.56000000
2020-07-04,229.17000000
2020-07-03,224.87000000
2020-07-02,226.46000000
2020-07-01,230.99000000
2020-06-30,225.60000000
2020-06-29,227.93000000
2020-06-28,224.93000000
2020-06-27,220.94000000
2020-06-26,229.64000000
2020-06-25,232.50000000
2020-06-24,234.58000000
2020-06-23,243.14000000
2020-06-22,243.13000000
2020-06-21,228.04000000
2020-06-20,228.89000000
2020-06-19,229.00000000
2020-06-18,231.27000000
2020-06-17,233.82000000
2020-06-16,235.30000000
2020-06-15,230.86000000
2020-06-14,231.77000000
2020-06-13,238.11000000
2020-06-12,237.55000000
2020-06-11,230.51000000
2020-06-10,247.78000000
2020-06-09,243.80000000
2020-06-08,246.40000000
2020-06-07,244.56000000
2020-06-06,241.94000000
2020-06-05,240.03000000
2020-06-04,243.21000000
2020-06-03,244.52000000
2020-06-02,237.71000000
2020-06-01,248.23000000
2020-05-31,231.57000000
2020-05-30,243.66000000
2020-05-29,220.67000000
2020-05-28,220.21000000
2020-05-27,208.29000000
2020-05-26,200.89000000
2020-05-25,204.15000000
2020-05-24,199.90000000
2020-05-23,206.60000000
2020-05-22,207.36000000
2020-05-21,198.74000000
2020-05-20,209.98000000
2020-05-19,214.58000000
2020-05-18,214.91000000
2020-05-17,207.00000000
2020-05-16,200.45000000
2020-05-15,194.86000000
2020-05-14,203.29000000
2020-05-13,199.58000000
2020-05-12,189.76000000
2020-05-11,185.73000000
2020-05-10,187.54000000
2020-05-09,210.07000000
2020-05-08,211.31000000
2020-05-07,212.00000000
2020-05-06,198.97000000
2020-05-05,205.29000000
2020-05-04,206.48000000
2020-05-03,209.86000000
2020-05-02,213.90000000
2020-05-01,212.02000000
2020-04-30,206.08000000
2020-04-29,215.36000000
2020-04-28,196.24000000
2020-04-27,196.34000000
2020-04-26,197.38000000
2020-04-25,194.21000000
2020-04-24,187.59000000
2020-04-23,185.51000000
2020-04-22,182.70000000
2020-04-21,170.74000000
2020-04-20,170.20000000
2020-04-19,180.03000000
2020-04-18,187.40000000
2020-04-17,170.69000000
2020-04-16,172.29000000
2020-04-15,152.73000000
2020-04-14,158.45000000
2020-04-13,156.29000000
2020-04-12,158.59000000
2020-04-11,158.33000000
2020-04-10,157.81000000
2020-04-09,169.52000000
2020-04-08,173.11000000
2020-04-07,164.63000000
2020-04-06,171.32000000
2020-04-05,142.68000000
2020-04-04,144.10000000
2020-04-03,141.31000000
2020-04-02,141.28000000
2020-04-01,135.69000000
2020-03-31,132.72000000
2020-03-30,132.06000000
2020-03-29,124.50000000
2020-03-28,130.98000000
2020-03-27,131.33000000
2020-03-26,138.40000000
2020-03-25,136.10000000
2020-03-24,138.42000000
2020-03-23,135.92000000
2020-03-22,122.32000000
2020-03-21,132.66000000
2020-03-20,133.48000000
2020-03-19,136.30000000
2020-03-18,118.11000000
2020-03-17,115.67000000
2020-03-16,111.02000000
2020-03-15,123.78000000
2020-03-14,122.54000000
2020-03-13,134.06000000
2020-03-12,107.82000000
2020-03-11,194.61000000
2020-03-10,200.70000000
2020-03-09,202.81000000
2020-03-08,199.43000000
2020-03-07,237.23000000
2020-03-06,244.88000000
2020-03-05,228.38000000
2020-03-04,224.26000000
2020-03-03,223.91000000
2020-03-02,231.97000000
2020-03-01,217.81000000
2020-02-29,217.21000000
2020-02-28,226.76000000
2020-02-27,227.79000000
2020-02-26,223.93000000
2020-02-25,246.67000000
2020-02-24,265.52000000
2020-02-23,274.48000000
2020-02-22,261.57000000
2020-02-21,265.27000000
2020-02-20,256.96000000
2020-02-19,258.45000000
2020-02-18,282.61000000
2020-02-17,267.85000000
2020-02-16,258.85000000
2020-02-15,264.88000000
2020-02-14,285.15000000
2020-02-13,268.32000000
2020-02-12,265.74000000
2020-02-11,236.69000000
2020-02-10,222.89000000
2020-02-09,228.49000000
2020-02-08,223.05000000
2020-02-07,223.33000000
2020-02-06,213.19000000
2020-02-05,203.78000000
2020-02-04,188.91000000
2020-02-03,189.69000000
2020-02-02,188.44000000
2020-02-01,183.60000000
2020-01-31,179.99000000
2020-01-30,184.69000000
2020-01-29,173.72000000
2020-01-28,175.64000000
2020-01-27,170.08000000
2020-01-26,167.86000000
2020-01-25,160.35000000
2020-01-24,162.54000000
2020-01-23,162.81000000
2020-01-22,168.07000000
2020-01-21,169.49000000
2020-01-20,166.87000000
2020-01-19,166.79000000
2020-01-18,174.14000000
2020-01-17,169.85000000
2020-01-16,164.21000000
2020-01-15,166.40000000
2020-01-14,165.64000000
2020-01-13,143.58000000
2020-01-12,146.54000000
2020-01-11,142.38000000
2020-01-10,144.84000000
2020-01-09,137.74000000
2020-01-08,140.72000000
2020-01-07,142.80000000
2020-01-06,144.15000000
2020-01-05,135.37000000
2020-01-04,134.20000000
2020-01-03,134.35000000
2020-01-02,127.19000000
2020-01-01,130.77000000
2019-12-31,129.16000000
2019-12-30,131.59000000
2019-12-29,134.36000000
2019-12-28,128.11000000
2019-12-27,126.29000000
2019-12-26,125.58000000
2019-12-25,125.09000000
2019-12-24,127.75000000
