Date,BTC,XRP,ETH,LTC,DOGE,^GSPC,5yr Bond,10yr Bond,Gold Trust
2016-09-27,606.166015625,0.008228999562561512,13.098299980163574,3.8522400856018066,0.0002280000044265762,2159.929931640625,1.1119999885559082,1.555999994277954,126.62000274658203
2016-09-28,604.72802734375,0.00904799997806549,13.274800300598145,3.8376100063323975,0.00022899999748915434,2171.3701171875,1.1299999952316284,1.5670000314712524,126.22000122070312
2016-09-29,605.6929931640625,0.008914000354707241,13.073399543762207,3.8456099033355713,0.00023099999816622585,2151.1298828125,1.1150000095367432,1.5570000410079956,126.06999969482422
2016-09-30,609.7349853515625,0.008829999715089798,13.224800109863281,3.841599941253662,0.00023499999952036887,2168.27001953125,1.156000018119812,1.6080000400543213,125.63999938964844
2016-10-03,612.1329956054688,0.00808900035917759,13.452400207519531,3.837970018386841,0.00023400000645779073,2161.199951171875,1.1829999685287476,1.621999979019165,125.31999969482422
2016-10-04,610.2039794921875,0.007853000424802303,13.277000427246094,3.8230299949645996,0.00022899999748915434,2150.489990234375,1.2269999980926514,1.6829999685287476,120.97000122070312
2016-10-05,612.510986328125,0.0074350000359117985,13.035699844360352,3.843130111694336,0.00023299999884329736,2159.72998046875,1.25600004196167,1.715999960899353,120.77999877929688
2016-10-06,613.02099609375,0.0073819998651742935,12.854299545288086,3.8465399742126465,0.0002229999954579398,2160.77001953125,1.2829999923706055,1.7419999837875366,119.66000366210938
2016-10-07,617.1209716796875,0.00737700005993247,12.667099952697754,3.8622899055480957,0.0002280000044265762,2153.739990234375,1.2699999809265137,1.7359999418258667,119.73999786376953
2016-10-11,641.072021484375,0.008233999833464622,11.785699844360352,3.8163299560546875,0.0002300000051036477,2136.72998046875,1.2940000295639038,1.7589999437332153,119.55000305175781
2016-10-12,636.1920166015625,0.007949000224471092,11.933500289916992,3.758510112762451,0.00022499999613501132,2139.179931640625,1.3040000200271606,1.777999997138977,119.73999786376953
2016-10-13,636.7860107421875,0.007981999777257442,11.963000297546387,3.9065699577331543,0.00022699999681208283,2132.550048828125,1.253999948501587,1.7380000352859497,120.02999877929688
2016-10-14,640.3779907226562,0.008767000399529934,11.938199996948242,3.897599935531616,0.00022699999681208283,2132.97998046875,1.281999945640564,1.7940000295639038,119.36000061035156
2016-10-17,639.1929931640625,0.008030000142753124,12.005000114440918,3.91048002243042,0.0002209999947808683,2126.5,1.25600004196167,1.7660000324249268,119.68000030517578
2016-10-18,637.9600219726562,0.008349999785423279,12.588500022888184,3.8395800590515137,0.0002209999947808683,2139.60009765625,1.2339999675750732,1.7489999532699585,120.41999816894531
2016-10-19,630.52001953125,0.008627000264823437,12.022600173950195,3.804140090942383,0.00021899999410379678,2144.2900390625,1.2339999675750732,1.7519999742507935,121.11000061035156
2016-10-20,630.8569946289062,0.009092000313103199,12.098999977111816,3.7790000438690186,0.0002209999947808683,2141.340087890625,1.2430000305175781,1.746999979019165,120.73999786376953
2016-10-21,632.8280029296875,0.00902900006622076,12.175399780273438,3.805459976196289,0.00021800000104121864,2141.159912109375,1.2450000047683716,1.7400000095367432,120.83000183105469
2016-10-24,653.760986328125,0.009065000340342522,11.968999862670898,3.8688600063323975,0.00021899999410379678,2151.330078125,1.2690000534057617,1.7630000114440918,120.55999755859375
2016-10-25,657.5880126953125,0.008891000412404537,11.413999557495117,3.904409885406494,0.00021899999410379678,2143.159912109375,1.2760000228881836,1.7580000162124634,121.47000122070312
2016-10-26,678.3040161132812,0.008834999985992908,11.531999588012695,3.96028995513916,0.00021600000036414713,2139.429931640625,1.3020000457763672,1.7899999618530273,120.79000091552734
2016-10-27,688.31298828125,0.008480999618768692,11.499699592590332,4.021500110626221,0.00021699999342672527,2133.0400390625,1.3380000591278076,1.843000054359436,121.01000213623047
2016-10-28,689.6510009765625,0.008143000304698944,11.085100173950195,3.973220109939575,0.00021600000036414713,2126.409912109375,1.3229999542236328,1.8450000286102295,121.58000183105469
2016-10-31,700.9719848632812,0.008196000009775162,10.998200416564941,3.993959903717041,0.00022000000171829015,2126.14990234375,1.312999963760376,1.8339999914169312,121.94000244140625
2016-11-01,729.7930297851562,0.008101999759674072,10.76609992980957,4.088329792022705,0.0002209999947808683,2111.719970703125,1.2860000133514404,1.8200000524520874,122.7300033569336
