,Date,BTC,ETH,LTC,XRP
124,2021-02-11,47969.51000000,1785.62000000,183.62000000,0.52806000
125,2021-02-10,44807.58000000,1740.78000000,181.56000000,0.50429000
126,2021-02-09,46420.42000000,1769.13000000,181.49000000,0.47636000
127,2021-02-08,46374.87000000,1750.15000000,167.28000000,0.45099000
128,2021-02-07,38795.69000000,1611.62000000,150.76000000,0.41849000
129,2021-02-06,39186.94000000,1676.35000000,155.57000000,0.44307000
130,2021-02-05,38290.24000000,1719.19000000,155.05000000,0.45219000
131,2021-02-04,36936.66000000,1595.67000000,145.07000000,0.44545000
132,2021-02-03,37618.87000000,1664.49000000,155.93000000,0.39721000
133,2021-02-02,35466.24000000,1511.87000000,141.98000000,0.37254000
134,2021-02-01,33526.37000000,1374.17000000,132.00000000,0.37106000
135,2021-01-31,33092.98000000,1312.55000000,129.36000000,0.49507000
136,2021-01-30,34262.88000000,1378.05000000,133.36000000,0.44372000
137,2021-01-29,34252.20000000,1379.50000000,134.65000000,0.28290000
138,2021-01-28,33364.86000000,1329.69000000,133.27000000,0.26407000
139,2021-01-27,30366.15000000,1239.03000000,122.44000000,0.25039000
140,2021-01-26,32467.77000000,1365.97000000,134.67000000,0.26834000
141,2021-01-25,32254.20000000,1317.88000000,137.07000000,0.26757000
142,2021-01-24,32259.90000000,1392.51000000,141.01000000,0.27339000
143,2021-01-23,32078.00000000,1233.60000000,137.67000000,0.27167000
144,2021-01-22,32945.17000000,1232.62000000,137.66000000,0.27217000
145,2021-01-21,30850.13000000,1110.96000000,129.72000000,0.26802000
146,2021-01-20,35468.23000000,1376.99000000,149.69000000,0.29539000
147,2021-01-19,35891.49000000,1365.36000000,151.86000000,0.29396000
148,2021-01-18,36631.27000000,1258.45000000,151.96000000,0.28528000
149,2021-01-17,35828.61000000,1232.45000000,142.80000000,0.27746000
150,2021-01-16,35994.98000000,1227.83000000,143.52000000,0.27924000
151,2021-01-15,36742.22000000,1168.53000000,143.65000000,0.27991000
152,2021-01-14,39144.50000000,1231.62000000,152.50000000,0.29642000
153,2021-01-13,37371.38000000,1129.89000000,147.38000000,0.30582000
154,2021-01-12,34051.24000000,1050.16000000,133.42000000,0.29254000
155,2021-01-11,35404.47000000,1087.01000000,138.87000000,0.28743000
156,2021-01-10,38150.02000000,1254.25000000,170.07000000,0.31491000
157,2021-01-09,40088.22000000,1276.00000000,177.26000000,0.32419000
158,2021-01-08,40582.81000000,1216.93000000,172.19000000,0.32032000
159,2021-01-07,39432.28000000,1224.87000000,169.35000000,0.32389000
